komentar,kantor,letak,rating,sentimen,komentar_clean
"pelayananya ramah, baik, cepat",kcp tb simatupang,Kota Jakarta Selatan,5,positif,"pelayananya ramah, baik, cepat"
sangat membantu dan responya cepat,kcp tb simatupang,Kota Jakarta Selatan,5,positif,membantu responya cepat
ini salah petanya harap diperbaiki dong,kcp tb simatupang,Kota Jakarta Selatan,4,positif,salah petanya harap diperbaiki
pelayananya ramah,kcp tb simatupang,Kota Jakarta Selatan,5,positif,pelayananya ramah
ya bagus,kcp tb simatupang,Kota Jakarta Selatan,5,positif,ya bagus
pelayanan teler cukup cepat!,kcp tb simatupang,Kota Jakarta Selatan,5,positif,pelayanan teler cepat!
tempatnya bagus,kcp tb simatupang,Kota Jakarta Selatan,5,positif,tempatnya bagus
ok,kcp tb simatupang,Kota Jakarta Selatan,5,positif,ok
friendly staf and very helpful,kcp wisma keiai,Kota Jakarta Pusat,5,positif,friendly staf helpful
good experience with banking here,kcp wolter mongonsidi,Kota Jakarta Selatan,5,positif,good experience banking
pelayanan cepat dan ramah,kcp wolter mongonsidi,Kota Jakarta Selatan,5,positif,pelayanan cepat ramah
pelayanan ramah ðÿ‘ðÿ½,kcp wolter mongonsidi,Kota Jakarta Selatan,5,positif,pelayanan ramah ðÿ‘ðÿ½
sering kunjungan,kcp wolter mongonsidi,Kota Jakarta Selatan,5,positif,kunjungan
bersebrangan dengan bank mandiri.,kcp wolter mongonsidi,Kota Jakarta Selatan,4,positif,bersebrangan bank mandiri.
"pelayananya memuaskan, waktu itu aktivasi kartu atm. teler ,cs, dan satpam komunikatif.",Maybank KCP Super Mal Pakuwon,Kota Surabaya,5,positif,"pelayananya memuaskan, aktivasi kartu atm. teler ,cs, satpam komunikatif."
mantap customer service sudah mulai jam pas. jos.,Maybank Bubutan,Kota Surabaya,5,positif,mantap customer service jam pas. jos.
"maybank yang dulunya adalah bi ini terletak dijalan jemur handayani, pelayanan dari para petugas dan pegawainya cukup ramah dan culup sepi, kalau sedang rame susah mencari tempat parkir tetapi kondisi ini jarang terjadi.",Bank Maybank KCP Jemur Andayani,Kota Surabaya,4,positif,"maybank dulunya bi terletak dijalan jemur handayani, pelayanan petugas pegawainya ramah culup sepi, rame susah mencari parkir kondisi jarang terjadi."
pelayananya baik dan ramah,Maybank KCP HR Muhammad,Kota Surabaya,5,positif,pelayananya ramah
pelayananya ramah.,Maybank KCP HR Muhammad,Kota Surabaya,5,positif,pelayananya ramah.
"parkirnya luas, gratis lagi servicenya oke dan cepat. satpamnya ramah dan helpful",Maybank KCP HR Muhammad,Kota Surabaya,5,positif,"parkirnya luas, gratis servicenya oke cepat. satpamnya ramah helpful"
pelayanan ramah dan cepat,Maybank KCP HR Muhammad,Kota Surabaya,5,positif,pelayanan ramah cepat
"pelayanan cepat ,ramah dan tamah . security sangat welcome",Maybank KCP HR Muhammad,Kota Surabaya,5,positif,"pelayanan cepat ,ramah tamah . security welcome"
pelayanan ramah,Maybank KCP HR Muhammad,Kota Surabaya,5,positif,pelayanan ramah
"lokasi nyaman, parkir luas, pelayanan ramah",Maybank KCP HR Muhammad,Kota Surabaya,5,positif,"lokasi nyaman, parkir luas, pelayanan ramah"
pelayananya terbaik selalu transaksi disini,Maybank KCP HR Muhammad,Kota Surabaya,5,positif,pelayananya terbaik transaksi
"pelayanan bagus, ramah dan cepat",Maybank KCP HR Muhammad,Kota Surabaya,5,positif,"pelayanan bagus, ramah cepat"
pelayanan ok,Maybank KCP HR Muhammad,Kota Surabaya,5,positif,pelayanan ok
helpful,Maybank,Kota Surabaya,5,positif,helpful
"personya ramah, satpamnya pro aktif nanyain tujuan kedatangan kita, bank terkenal sejak dulu jaman namanya masih bi. tabunganya juga menarik ada hadiahnya. mantap!",Maybank KCP Manyar,Kota Surabaya,5,positif,"personya ramah, satpamnya pro aktif nanyain tujuan kedatangan kita, bank terkenal jaman namanya bi. tabunganya menarik hadiahnya. mantap!"
"csnya komunikatif, servicenya ramah, suka menabung disini",Maybank KCP Manyar,Kota Surabaya,5,positif,"csnya komunikatif, servicenya ramah, suka menabung"
"pelayananya baik dan ramah""",Maybank KCP Manyar,Kota Surabaya,5,positif,"pelayananya ramah"""
"good job, dibantu dengan customer service mas dhio. pelayanan ramah, cepat, no antri, tempat bersih plus wangi. nice experience",Maybank Cabang Surabaya Pemuda,Kota Surabaya,5,positif,"good job, dibantu customer service mas dhio. pelayanan ramah, cepat, antri, bersih plus wangi. nice experience"
respon cepat dan petugas ramah.,Maybank Cabang Surabaya Pemuda,Kota Surabaya,5,positif,respon cepat petugas ramah.
maybank pakuwon city,Maybank KCP Pakuwon City,Kota Surabaya,5,positif,maybank pakuwon city
tempat kerjaku dulu -,Bank Maybank - KCP Mall Galaxy,Kota Surabaya,5,positif,kerjaku -
jadwalnya dari hari senin sampai hari apa ya,Bank Maybank - KCP Mall Galaxy,Kota Surabaya,5,positif,jadwalnya senin ya
"maybank pindahan dari depanya delta plaza. tempat kpr, kpa, kpt, disini ya. bukan di depan delta plaza lagi. menempati gedung sebelahan dengan polresta surabaya, jalan jembatan merah, yang merupakan gedung jaman dulu. cantik sekali pemandanganya unik. maf tidak banyak foto sdh terhapus. jalan jembatan merah. dari jembatan gedungnya sebelah kanan. tidak jauh. sebelom polrestabes.",Maybank KC & Premier Surabaya,Kota Surabaya,5,positif,"maybank pindahan depanya delta plaza. kpr, kpa, kpt, ya. delta plaza lagi. menempati gedung sebelahan polresta surabaya, jalan jembatan merah, gedung jaman dulu. cantik pemandanganya unik. maf foto sdh terhapus. jalan jembatan merah. jembatan gedungnya sebelah kanan. jauh. sebelom polrestabes."
"pelayanan istimewa, security ramah, customer ramah baik pelayananya cepat. good job",Bank Maybank KCP Perak,Kota Surabaya,5,positif,"pelayanan istimewa, security ramah, customer ramah pelayananya cepat. good job"
bank yang sangat amanah,Bank Maybank KCP Perak,Kota Surabaya,5,positif,bank amanah
"pelayanan ok, walopun proses pengambilan bpkb agak lebih lama dari yang dibayangkan. jam mulai operasional jam . dari awal hinga akhir selesai, kurang lebih makan waktu jam an. satpam dan mbak rosa sangat ramah dan very helpful",Maybank Finance Surabaya,Kota Surabaya,4,positif,"pelayanan ok, walopun proses pengambilan bpkb dibayangkan. jam operasional jam . hinga selesai, makan jam an. satpam mbak rosa ramah helpful"
awalnya saya kira bakal lama karena lihat rata review di gogle. tapi pelayananya cepet banget. dari sekuriti sampai bagian penanganan pengambilan bpkp juga ramah.,Maybank Finance Surabaya,Kota Surabaya,5,positif,lihat review gogle. pelayananya cepet banget. sekuriti penanganan pengambilan bpkp ramah.
"pengalaman ambil bpkb, prosesnya cepat. god! jam operasional mulai , securitynya ramah dan dibantu pencocokan dok. awal, kemudian nunggu sekitar menit dan dipangil petugas untuk serah terima bpkb.",Maybank Finance Surabaya,Kota Surabaya,4,positif,"pengalaman ambil bpkb, prosesnya cepat. god! jam operasional , securitynya ramah dibantu pencocokan dok. awal, nunggu menit dipangil petugas serah terima bpkb."
pengambilan bpkb d kantor yang mana ya. setau saya d jemursari ada,Maybank Finance Surabaya,Kota Surabaya,4,positif,pengambilan bpkb kantor ya. setau jemursari
"pelayanan oke, meskipun banyak yang komplain pengambilan bpkb lama, tapi saya sendiri dilayani cepat, mungkin sesuai amal ibadah dan kelakuan selama kredit. disini pelunasan simple cuma transfer dan tungu hari saja sudah beres tingal ambil, mantap jaya",Maybank Finance Surabaya,Kota Surabaya,4,positif,"pelayanan oke, komplain pengambilan bpkb lama, dilayani cepat, sesuai amal ibadah kelakuan kredit. pelunasan simple transfer tungu beres tingal ambil, mantap jaya"
